,date,Buy Nvidia,isPartial,day
106,2019-10-07 11:00:00,2,False,2019-10-07
107,2019-10-07 12:00:00,20,False,2019-10-07
108,2019-10-07 13:00:00,8,False,2019-10-07
109,2019-10-07 14:00:00,11,False,2019-10-07
110,2019-10-07 15:00:00,15,False,2019-10-07
111,2019-10-07 16:00:00,11,False,2019-10-07
112,2019-10-07 17:00:00,11,False,2019-10-07
113,2019-10-07 18:00:00,5,False,2019-10-07
114,2019-10-07 19:00:00,12,False,2019-10-07
115,2019-10-07 20:00:00,10,False,2019-10-07
116,2019-10-07 21:00:00,11,False,2019-10-07
117,2019-10-07 22:00:00,6,False,2019-10-07
118,2019-10-07 23:00:00,7,False,2019-10-07
119,2019-10-08 00:00:00,10,False,2019-10-08
120,2019-10-08 01:00:00,8,False,2019-10-08
121,2019-10-08 02:00:00,14,False,2019-10-08
122,2019-10-08 03:00:00,14,False,2019-10-08
123,2019-10-08 04:00:00,17,False,2019-10-08
124,2019-10-08 05:00:00,20,False,2019-10-08
125,2019-10-08 06:00:00,8,False,2019-10-08
126,2019-10-08 07:00:00,18,False,2019-10-08
127,2019-10-08 08:00:00,22,False,2019-10-08
128,2019-10-08 09:00:00,12,False,2019-10-08
129,2019-10-08 10:00:00,8,False,2019-10-08
130,2019-10-08 11:00:00,9,False,2019-10-08
131,2019-10-08 12:00:00,9,False,2019-10-08
132,2019-10-08 13:00:00,13,False,2019-10-08
133,2019-10-08 14:00:00,7,False,2019-10-08
134,2019-10-08 15:00:00,11,False,2019-10-08
135,2019-10-08 16:00:00,11,False,2019-10-08
136,2019-10-08 17:00:00,10,False,2019-10-08
137,2019-10-08 18:00:00,9,False,2019-10-08
138,2019-10-08 19:00:00,10,False,2019-10-08
139,2019-10-08 20:00:00,14,False,2019-10-08
140,2019-10-08 21:00:00,8,False,2019-10-08
141,2019-10-08 22:00:00,6,False,2019-10-08
142,2019-10-08 23:00:00,13,False,2019-10-08
143,2019-10-09 00:00:00,11,False,2019-10-09
144,2019-10-09 01:00:00,9,False,2019-10-09
145,2019-10-09 02:00:00,6,False,2019-10-09
146,2019-10-09 03:00:00,9,False,2019-10-09
147,2019-10-09 04:00:00,17,False,2019-10-09
148,2019-10-09 05:00:00,6,False,2019-10-09
149,2019-10-09 06:00:00,21,False,2019-10-09
150,2019-10-09 07:00:00,24,False,2019-10-09
151,2019-10-09 08:00:00,7,False,2019-10-09
152,2019-10-09 09:00:00,13,False,2019-10-09
153,2019-10-09 10:00:00,12,False,2019-10-09
154,2019-10-09 11:00:00,7,False,2019-10-09
155,2019-10-09 12:00:00,6,False,2019-10-09
156,2019-10-09 13:00:00,5,False,2019-10-09
157,2019-10-09 14:00:00,17,False,2019-10-09
158,2019-10-09 15:00:00,12,False,2019-10-09
159,2019-10-09 16:00:00,8,False,2019-10-09
160,2019-10-09 17:00:00,11,False,2019-10-09
161,2019-10-09 18:00:00,12,False,2019-10-09
162,2019-10-09 19:00:00,11,False,2019-10-09
163,2019-10-09 20:00:00,9,False,2019-10-09
164,2019-10-09 21:00:00,9,False,2019-10-09
165,2019-10-09 22:00:00,7,False,2019-10-09
166,2019-10-09 23:00:00,7,False,2019-10-09
